starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 19:16:25 2022	1651173385	1	33	33	1
Thu Apr 28 19:16:25 2022	1651173385	26	37	63	37
Thu Apr 28 19:16:25 2022	1651173385	26	37	63	37
Thu Apr 28 19:16:25 2022	1651173385	26	38	63	38
Thu Apr 28 19:16:25 2022	1651173385	26	38	64	38
Thu Apr 28 19:16:25 2022	1651173385	26	38	64	38
Thu Apr 28 19:16:25 2022	1651173385	26	38	64	38
Thu Apr 28 19:16:25 2022	1651173385	26	39	64	39
Thu Apr 28 19:16:25 2022	1651173385	26	39	64	39
Thu Apr 28 19:16:25 2022	1651173385	26	39	65	39
Thu Apr 28 19:16:25 2022	1651173385	26	39	65	39
Thu Apr 28 19:16:25 2022	1651173385	26	48	74	48
Thu Apr 28 19:16:25 2022	1651173385	26	48	74	48
Thu Apr 28 19:16:25 2022	1651173385	26	48	74	48
Thu Apr 28 19:16:25 2022	1651173385	26	49	74	49
Thu Apr 28 19:16:25 2022	1651173385	26	49	75	49
Thu Apr 28 19:16:25 2022	1651173385	26	49	75	49
Thu Apr 28 19:16:25 2022	1651173385	26	49	75	49
Thu Apr 28 19:16:25 2022	1651173385	26	50	75	50
Thu Apr 28 19:16:25 2022	1651173385	26	50	76	50
Thu Apr 28 19:16:25 2022	1651173385	26	50	76	50
Thu Apr 28 19:16:25 2022	1651173385	26	51	76	50
Thu Apr 28 19:16:25 2022	1651173385	26	51	76	51
Thu Apr 28 19:16:25 2022	1651173385	26	51	77	51
Thu Apr 28 19:16:25 2022	1651173385	26	51	77	51
Thu Apr 28 19:16:25 2022	1651173385	26	51	77	51
Thu Apr 28 19:16:25 2022	1651173385	26	52	77	52
Thu Apr 28 19:16:25 2022	1651173385	26	52	78	52
Thu Apr 28 19:16:25 2022	1651173385	26	52	78	52
Thu Apr 28 19:16:25 2022	1651173385	26	52	78	52
Thu Apr 28 19:16:25 2022	1651173385	26	53	78	53
Thu Apr 28 19:16:25 2022	1651173385	26	53	79	53
Thu Apr 28 19:16:25 2022	1651173385	26	53	79	53
Thu Apr 28 19:16:25 2022	1651173385	26	53	79	53
Thu Apr 28 19:16:25 2022	1651173385	26	54	79	53
Thu Apr 28 19:16:25 2022	1651173385	26	54	79	54
Thu Apr 28 19:16:25 2022	1651173385	26	54	80	54
Thu Apr 28 19:16:25 2022	1651173385	26	54	80	54
Thu Apr 28 19:16:25 2022	1651173385	26	55	80	55
Thu Apr 28 19:16:25 2022	1651173385	26	55	80	55
Thu Apr 28 19:16:25 2022	1651173385	26	55	81	55
Thu Apr 28 19:16:25 2022	1651173385	26	56	81	55
Thu Apr 28 19:16:25 2022	1651173385	26	56	81	56
Thu Apr 28 19:16:25 2022	1651173385	26	56	82	56
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	63
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	63
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	63
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	64	89	64
Thu Apr 28 19:16:25 2022	1651173385	25	65	90	65
Thu Apr 28 19:16:25 2022	1651173385	25	65	90	65
Thu Apr 28 19:16:25 2022	1651173385	25	65	90	65
Thu Apr 28 19:16:25 2022	1651173385	25	65	91	65
Thu Apr 28 19:16:25 2022	1651173385	25	66	91	66
Thu Apr 28 19:16:25 2022	1651173385	25	66	91	66
Thu Apr 28 19:16:25 2022	1651173385	25	66	92	66
Thu Apr 28 19:16:25 2022	1651173385	25	66	92	66
Thu Apr 28 19:16:25 2022	1651173385	25	67	92	67
Thu Apr 28 19:16:25 2022	1651173385	25	67	92	67
Thu Apr 28 19:16:25 2022	1651173385	25	67	93	67
Thu Apr 28 19:16:25 2022	1651173385	25	67	93	67
Thu Apr 28 19:16:25 2022	1651173385	25	68	93	68
Thu Apr 28 19:16:25 2022	1651173385	25	68	93	68
Thu Apr 28 19:16:25 2022	1651173385	25	68	93	68
Thu Apr 28 19:16:25 2022	1651173385	25	69	94	69
Thu Apr 28 19:16:25 2022	1651173385	25	69	94	69
Thu Apr 28 19:16:25 2022	1651173385	25	69	94	69
Thu Apr 28 19:16:25 2022	1651173385	25	69	94	69
Thu Apr 28 19:16:25 2022	1651173385	25	70	95	69
Thu Apr 28 19:16:25 2022	1651173385	25	70	95	70
Thu Apr 28 19:16:25 2022	1651173385	25	70	95	70
Thu Apr 28 19:16:25 2022	1651173385	25	70	95	70
Thu Apr 28 19:16:25 2022	1651173385	25	71	96	71
Thu Apr 28 19:16:25 2022	1651173385	25	71	96	71
Thu Apr 28 19:16:25 2022	1651173385	25	71	96	71
Thu Apr 28 19:16:25 2022	1651173385	25	71	96	71
Thu Apr 28 19:16:25 2022	1651173385	25	72	97	71
Thu Apr 28 19:16:25 2022	1651173385	25	72	97	72
Thu Apr 28 19:16:25 2022	1651173385	25	72	97	72
Thu Apr 28 19:16:25 2022	1651173385	25	72	97	72
Thu Apr 28 19:16:25 2022	1651173385	25	72	97	72
Thu Apr 28 19:16:25 2022	1651173385	25	73	97	73
Thu Apr 28 19:16:25 2022	1651173385	25	73	98	73
Thu Apr 28 19:16:25 2022	1651173385	25	73	98	73
Thu Apr 28 19:16:25 2022	1651173385	25	73	98	73
Thu Apr 28 19:16:25 2022	1651173385	25	77	102	77
Thu Apr 28 19:16:25 2022	1651173385	25	77	102	77
Thu Apr 28 19:16:25 2022	1651173385	25	80	104	80
Thu Apr 28 19:16:25 2022	1651173385	25	80	105	80
Thu Apr 28 19:16:25 2022	1651173385	25	80	105	80
Thu Apr 28 19:16:25 2022	1651173385	25	84	108	84
Thu Apr 28 19:16:25 2022	1651173385	25	84	109	84
Thu Apr 28 19:16:25 2022	1651173385	25	84	109	84
Thu Apr 28 19:16:25 2022	1651173385	25	85	109	84
Thu Apr 28 19:16:25 2022	1651173385	25	87	111	86
Thu Apr 28 19:16:25 2022	1651173385	25	87	112	87
Thu Apr 28 19:16:25 2022	1651173385	25	87	112	87
Thu Apr 28 19:16:25 2022	1651173385	25	87	112	87
Thu Apr 28 19:16:25 2022	1651173385	25	89	114	89
Thu Apr 28 19:16:25 2022	1651173385	25	89	114	89
Thu Apr 28 19:16:25 2022	1651173385	25	90	114	90
Thu Apr 28 19:16:25 2022	1651173385	32	85	117	85
Thu Apr 28 19:16:25 2022	1651173385	32	85	117	85
Thu Apr 28 19:16:25 2022	1651173385	32	85	117	85
Thu Apr 28 19:16:25 2022	1651173385	32	86	117	86
Thu Apr 28 19:16:25 2022	1651173385	32	86	118	86
Thu Apr 28 19:16:25 2022	1651173385	32	86	118	86
Thu Apr 28 19:16:25 2022	1651173385	25	94	118	93
Thu Apr 28 19:16:25 2022	1651173385	31	87	118	87
Thu Apr 28 19:16:25 2022	1651173385	25	94	118	94
Thu Apr 28 19:16:25 2022	1651173385	32	87	118	87
Thu Apr 28 19:16:25 2022	1651173385	24	94	119	94
Thu Apr 28 19:16:25 2022	1651173385	31	87	119	87
Thu Apr 28 19:16:25 2022	1651173385	31	87	119	87
Thu Apr 28 19:16:25 2022	1651173385	31	88	119	88
Thu Apr 28 19:16:25 2022	1651173385	31	88	119	88
Thu Apr 28 19:16:25 2022	1651173385	32	88	120	88
Thu Apr 28 19:16:25 2022	1651173385	31	89	120	89
