starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 20:16:07 2022	1651176967	1	33	34	1
Thu Apr 28 20:16:10 2022	1651176970	14	100	114	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	114	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	114	93
Thu Apr 28 20:16:10 2022	1651176970	14	100	114	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	114	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	114	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	114	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	114	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	15	100	115	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	15	100	115	92
Thu Apr 28 20:16:10 2022	1651176970	14	101	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	115	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	13	102	116	94
Thu Apr 28 20:16:10 2022	1651176970	13	103	116	94
Thu Apr 28 20:16:10 2022	1651176970	5	111	116	105
Thu Apr 28 20:16:10 2022	1651176970	13	103	116	94
Thu Apr 28 20:16:10 2022	1651176970	14	102	116	93
Thu Apr 28 20:16:10 2022	1651176970	5	111	116	105
Thu Apr 28 20:16:10 2022	1651176970	5	111	116	105
Thu Apr 28 20:16:10 2022	1651176970	13	103	116	94
Thu Apr 28 20:16:10 2022	1651176970	13	103	116	94
Thu Apr 28 20:16:10 2022	1651176970	13	103	116	94
Thu Apr 28 20:16:10 2022	1651176970	5	112	116	105
Thu Apr 28 20:16:10 2022	1651176970	5	112	116	105
Thu Apr 28 20:16:10 2022	1651176970	4	112	116	106
Thu Apr 28 20:16:10 2022	1651176970	4	112	116	106
Thu Apr 28 20:16:10 2022	1651176970	4	112	116	106
Thu Apr 28 20:16:10 2022	1651176970	13	103	116	94
Thu Apr 28 20:16:10 2022	1651176970	13	104	116	94
Thu Apr 28 20:16:10 2022	1651176970	13	104	116	94
Thu Apr 28 20:16:10 2022	1651176970	4	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	13	104	117	95
Thu Apr 28 20:16:10 2022	1651176970	4	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	4	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	4	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	4	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	4	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	13	104	117	95
Thu Apr 28 20:16:10 2022	1651176970	13	104	117	95
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	3	113	117	107
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	13	104	117	95
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	109
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	109
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	109
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	109
Thu Apr 28 20:16:10 2022	1651176970	15	102	117	93
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	110
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	109
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	109
Thu Apr 28 20:16:10 2022	1651176970	3	114	117	108
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	109
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	110
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	110
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	110
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	110
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	2	116	117	110
Thu Apr 28 20:16:10 2022	1651176970	2	116	117	110
Thu Apr 28 20:16:10 2022	1651176970	15	102	117	93
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	1	116	117	111
Thu Apr 28 20:16:10 2022	1651176970	2	115	117	110
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	8	109	117	99
Thu Apr 28 20:16:10 2022	1651176970	8	109	118	99
Thu Apr 28 20:16:10 2022	1651176970	8	110	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	110	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	110	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	110	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	110	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	110	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	111	118	100
Thu Apr 28 20:16:10 2022	1651176970	8	111	118	100
