starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 19:00:13 2022	1651172413	1	32	32	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	32	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	32	31
Thu Apr 28 19:00:13 2022	1651172413	1	32	32	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	32	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	32	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	32	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	32	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	32	32
Thu Apr 28 19:00:12 2022	1651172412	7	25	32	25
Thu Apr 28 19:00:12 2022	1651172412	1	32	32	31
Thu Apr 28 19:00:12 2022	1651172412	1	32	32	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	32	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	31
Thu Apr 28 19:00:12 2022	1651172412	7	26	33	26
Thu Apr 28 19:00:13 2022	1651172413	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	33	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	0	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	0	33	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	7	26	33	26
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	33	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	1	32	33	32
Thu Apr 28 19:00:13 2022	1651172413	0	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	0	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	0	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	7	26	33	26
Thu Apr 28 19:00:12 2022	1651172412	1	33	33	32
Thu Apr 28 19:00:12 2022	1651172412	1	33	33	32
Thu Apr 28 19:00:13 2022	1651172413	1	33	33	33
Thu Apr 28 19:00:12 2022	1651172412	1	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	33	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	0	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	1	33	34	33
Thu Apr 28 19:00:13 2022	1651172413	0	33	34	33
